estado,densidades
Ciudad de México,6163
Estado de México,760
Morelos,404
Tlaxcala,336
Aguascalientes,254
Querétaro,203
Guanajuato,201
Puebla,192
Hidalgo,148
Colima,130
Veracruz,112
Jalisco,106
Tabasco,97
Nuevo León,90
Michoacán,81
Chiapas,76
Yucatán,59
Guerrero,56
Baja California,53
Sinaloa,53
San Luis Potosí,46
Nayarit,44
Oaxaca,44
Tamaulipas,44
Quintana Roo,42
Zacatecas,22
Coahuila,21
Campeche,16
Sonora,16
Chihuahua,15
Durango,15
Baja California Sur,11
